Simple;      insert;  query;
bvinc;         1021;    438;
craw;          1035;    429;
eaton;         1010;    511;
glebarez;      5162;    749;
mattn;         1480;    871;
modernc;       2419;    758;
ncruces;       2719;    850;
sqinn;          645;    242;
zombie;        1746;    263;

Real;      insert;  query;
bvinc;       1230;     61;
craw;        1258;     45;
eaton;       1188;     70;
glebarez;    1815;    129;
mattn;       1586;    104;
modernc;     1759;    130;
ncruces;     1469;    129;
sqinn;       1239;     51;
zombie;      1892;     59;

Complex;     insert;  query;
bvinc;          672;    558;
craw;           647;    476;
eaton;          646;    653;
glebarez;      2814;   1075;
mattn;          812;    998;
modernc;       1554;   1068;
ncruces;       1749;   1263;
sqinn;          475;    258;
zombie;        1270;    488;

Many;        query/N=10; query/N=100; query/N=1000;
bvinc;               23;          56;          415;
craw;                12;          46;          380;
eaton;               22;          62;          451;
glebarez;            21;          86;          702;
mattn;               20;          96;          819;
modernc;             31;          87;          692;
ncruces;             33;         103;          837;
sqinn;               29;          51;          320;
zombie;              16;          34;          267;

Large;       query/N=50000; query/N=100000; query/N=200000;
bvinc;                 178;            289;            531;
craw;                  187;            304;            535;
eaton;                 133;            226;            499;
glebarez;              406;            717;           1129;
mattn;                 122;            207;            376;
modernc;               401;            629;           1094;
ncruces;               151;            287;            528;
sqinn;                 285;            544;           1132;
zombie;                329;            561;            952;

Concurrent;  query/N=2; query/N=4; query/N=8;
bvinc;             508;       795;      1526;
craw;              514;       783;      1398;
eaton;             633;       887;      1637;
glebarez;          803;      1192;      2105;
mattn;             948;      1237;      2395;
modernc;           850;      1190;      2061;
ncruces;           981;      1261;      2355;
sqinn;             394;       700;      1273;
zombie;            311;       556;      1033;
